ID,group,species,species_phylo,experiment,temp,b,L,log10_L,mass_mid.g,min_mass.g,max_mass.g,L_state,study_id
38,water-breather,Brevoortia tyrannus,Brevoortia tyrannus,btyr_hett_rou,15,0.797,0.2162795,-0.664984643,22.11830238,6.17,79.29,routine,33
39,water-breather,Brevoortia tyrannus,Brevoortia tyrannus,btyr_hett_rou,20,0.724,0.3150092,-0.501676762,20.09911441,5.44,74.26,routine,33
40,water-breather,Brevoortia tyrannus,Brevoortia tyrannus,btyr_hett_rou,25,0.816,0.3680051,-0.434146163,23.75716313,6.98,80.86,routine,33
41,water-breather,Carassius auratus,Carassius auratus,caur_beam_smr,10,0.882,0.0164612,-1.783538508,67.08203932,10,450,standard,4
42,water-breather,Carassius auratus,Carassius auratus,caur_beam_smr,20,0.913,0.0312197,-1.505571275,64.73793324,11,381,standard,4
43,water-breather,Carassius auratus,Carassius auratus,caur_beam_smr,30,0.717,0.0798186,-1.097895894,69.2820323,15,320,standard,4
44,water-breather,Carassius auratus,Carassius auratus,caur_beam_smr,35,0.887,0.1326267,-0.877369036,68.41052551,12,390,standard,4
45,water-breather,Carassius auratus,Carassius auratus,caur_yama_rou,15,0.85979,0.168694035,-0.772900274,0.390943316,0.0247,6.1862,routine,80
46,water-breather,Carassius auratus,Carassius auratus,caur_yama_rou,20,0.77091,0.2589592,-0.586768655,0.445070942,0.0333,5.953,routine,80
47,water-breather,Carassius auratus,Carassius auratus,caur_yama_rou,30,0.81032,0.435933641,-0.360579615,0.355139227,0.0247,5.105,routine,80
48,water-breather,Carassius auratus,Carassius auratus,caur_li_res,15,0.898,0.063387,-1.197999802,31.6227766,4,250,resting,42
49,water-breather,Carassius auratus,Carassius auratus,caur_li_res,25,0.815,0.1286767,-0.890500085,31.6227766,4,250,resting,42
50,water-breather,Carcharhinus plumbeus,Carcharhinus plumbeus,cplu_dowd_smr,18,0.73,0.047252,-1.325579805,3257.894259,1025,10355,standard,19
51,water-breather,Carcharhinus plumbeus,Carcharhinus plumbeus,cplu_dowd_smr,24,0.79,0.0936407,-1.028535348,3257.894259,1025,10355,standard,19
52,water-breather,Carcharhinus plumbeus,Carcharhinus plumbeus,cplu_dowd_smr,28,0.63,0.1337161,-0.873816299,3257.894259,1025,10355,standard,19
53,water-breather,Catostomus commersonii,Catostomus commersonii,ccom_beam_smr,10,0.994,0.0337805,-1.471333927,77.45966692,30,200,standard,3
54,water-breather,Catostomus commersonii,Catostomus commersonii,ccom_beam_smr,15,0.828,0.0808429,-1.092358116,72.86974681,18,295,standard,3
55,water-breather,Catostomus commersonii,Catostomus commersonii,ccom_beam_smr,20,0.77,0.1228331,-0.910684588,62.89674077,23,172,standard,3
56,water-breather,Channa argus,Channa argus,carg_liu_res,10,0.886,0.0185139,-1.732502086,146.1306493,41.6667,512.5,resting,44
57,water-breather,Channa argus,Channa argus,carg_liu_res,15,0.858,0.0364606,-1.438176189,181.4295088,66.6667,493.75,resting,44
58,water-breather,Channa argus,Channa argus,carg_liu_res,20,0.806,0.0773368,-1.111613802,149.6306336,43.5463,514.1496,resting,44
59,water-breather,Channa argus,Channa argus,carg_liu_res,25,0.652,0.1648831,-0.782823856,145.6183398,43.1551,491.3599,resting,44
60,water-breather,Channa argus,Channa argus,carg_liu_res,30,0.804,0.1759403,-0.754634672,145.8687142,43.4139,490.1121,resting,44
61,water-breather,Channa argus,Channa argus,carg_liu_res,35,0.838,0.2396268,-0.620464612,145.3958249,40.874,517.1974,resting,44
62,water-breather,Mayaheros urophthalmus,Cichlasoma urophthalmum,mur_pala,20,0.352,0.2348564,-0.6291976,30.21643062,4.8024,190.1198,resting,54
63,water-breather,Mayaheros urophthalmus,Cichlasoma urophthalmum,mur_pala,25,0.321,0.4382171,-0.35831068,23.29020184,4.1986,129.1951,resting,54
64,water-breather,Mayaheros urophthalmus,Cichlasoma urophthalmum,mur_pala,30,0.28,1.3243045,0.121987855,10.93719046,4.0599,29.4646,resting,54
65,water-breather,Mayaheros urophthalmus,Cichlasoma urophthalmum,mur_pala,36,0.404,1.6527436,0.218205484,15.0489985,2.0736,109.2189,resting,54
66,water-breather,Clarias batrachus,Clarias batrachus,cbat_patr_ng,20,0.7806,0.092500879,-1.03385414,65.65150417,22.16,194.5,NA,56
67,water-breather,Clarias batrachus,Clarias batrachus,cbat_patr_ng,25.5,0.6737,0.143865279,-0.842044008,54.38749856,17,174,NA,56
68,water-breather,Clarias batrachus,Clarias batrachus,cbat_patr_ng,30.5,0.7613,0.098095266,-1.008351951,91.77409765,34.5,244.13,NA,56
69,water-breather,Colossoma macropomum,Colossoma macropomum,cmac_sain_rou,25,0.64,0.274510487,-0.56144106,37.28741827,0.5865,2086,routine,61
70,water-breather,Colossoma macropomum,Colossoma macropomum,cmac_sain_rou,30,0.64,0.474434115,-0.32382409,26.80467348,0.347,1975,routine,61
71,water-breather,Coregonus albula,Coregonus albula,calb_ohlb_smr,4,0.944,0.0660634,-1.180039079,27.65863337,10.2,75,standard,53
72,water-breather,Coregonus albula,Coregonus albula,calb_ohlb_smr,8,0.843,0.0976128,-1.010493229,24.80040322,10.2,60.3,standard,53
73,water-breather,Coregonus albula,Coregonus albula,calb_ohlb_smr,15,0.712,0.162258,-0.789793881,31.11655508,13.3,72.8,standard,53
74,water-breather,Coregonus fontanae,Coregonus fontanae,cfon_ohlb_smr,4,0.85,0.0548379,-1.260919185,11.60344776,3.6,37.4,standard,52
75,water-breather,Coregonus fontanae,Coregonus fontanae,cfon_ohlb_smr,8,0.71,0.0896272,-1.047560171,11.60344776,3.6,37.4,standard,52
76,water-breather,Coregonus fontanae,Coregonus fontanae,cfon_ohlb_smr,15,0.61,0.1894935,-0.722405683,11.60344776,3.6,37.4,standard,52
77,water-breather,Coreius guichenoti,Coreius guichenoti,cgui_luo_rou,10,0.843,0.04767937,-1.321669492,19.5192213,1.4559,258.5135,routine,45
78,water-breather,Coreius guichenoti,Coreius guichenoti,cgui_luo_rou,15,0.8,0.087525357,-1.057866109,19.4422221,1.4332,256.5245,routine,45
79,water-breather,Coreius guichenoti,Coreius guichenoti,cgui_luo_rou,20,0.767,0.160106346,-0.795591454,17.28583235,1.2141,254.5614,routine,45
80,water-breather,Coreius guichenoti,Coreius guichenoti,cgui_luo_rou,25,0.788,0.218806645,-0.659939493,21.03568397,1.4965,300.917,routine,45
81,water-breather,Coreius guichenoti,Coreius guichenoti,cgui_luo_rou,30,0.822,0.389980787,-0.408956789,13.23631369,1.2251,136.1636,routine,45
82,water-breather,Cyprinus carpio,Cyprinus carpio,ccar_beam_smr,10,0.983,0.0168741,-1.772779381,166.8532289,58,480,standard,3
83,water-breather,Cyprinus carpio,Cyprinus carpio,ccar_beam_smr,20,0.909,0.0465052,-1.332498484,140.7124728,45,440,standard,3
84,water-breather,Cyprinus carpio,Cyprinus carpio,ccar_beam_smr,30,0.876,0.1029102,-0.987541578,112.9158979,30,425,standard,3
85,water-breather,Cyprinus carpio,Cyprinus carpio,ccar_beam_smr,35,0.81,0.1100024,-0.958597839,141.4213562,50,400,standard,3
86,water-breather,Eleginops maclovinus,Eleginops maclovinus,emac_vane_rou,10,0.7862,0.055159522,-1.258379506,14.68196278,5.1053,42.2227,routine,71
87,water-breather,Eleginops maclovinus,Eleginops maclovinus,emac_vane_rou,4,0.9132,0.017663403,-1.752925622,15.9766257,5.8568,43.5822,routine,71
88,water-breather,Eleginops maclovinus,Eleginops maclovinus,emac_vane_rou,2,0.7272,0.012238186,-1.912282951,16.4041641,6.24,43.1242,routine,71
89,water-breather,Eleginus gracilis,Eleginus gracilis,egrac_chen_smr,11.5,0.794,0.1180104,-0.928079718,108.8527003,33.8116,350.4397,standard,13
90,water-breather,Eleginus gracilis,Eleginus gracilis,egrac_chen_smr,7,0.782,0.0815276,-1.088695342,126.9452407,43.5543,370,standard,13
91,water-breather,Eleginus gracilis,Eleginus gracilis,egrac_chen_smr,3,0.7,0.0604719,-1.218446386,67.91363881,25.0439,184.1671,standard,13
92,water-breather,Esomus dandricus,Esomus danrica,edan_batc,16,0.2595,1.0728706,0.030547344,0.866025404,0.5,1.5,routine,7
93,water-breather,Esomus dandricus,Esomus danrica,edan_batc,25,0.5722,0.9315246,-0.030805672,1.407124728,0.6,3.3,routine,7
94,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_saun_post,3,0.7912,0.038447076,-1.415136684,1691.005618,1632.5,6650,routine,62
95,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_saun_post,10,0.886,0.065160548,-1.186015272,1507.315495,320,7100,routine,62
96,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_saun_post,15,0.8451,0.076028924,-1.119021156,1145.207405,430,3050,routine,62
97,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_saun_fed,10,0.831,0.095539617,-1.019816504,1507.315495,320,7100,routine,62
98,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_saun_fed,15,0.7572,0.117869904,-0.92859707,1145.207405,430,3050,routine,62
99,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_tirs_smr,2,0.82,0.0390011,-1.408923144,82.45978028,16.354,415.7779,standard,68
100,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_tirs_smr,5,0.889,0.0535844,-1.270961628,81.20194954,15.0282,438.7594,standard,68
101,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_tirs_smr,10,0.884,0.0740552,-1.130444441,74.90640275,12.4011,452.4576,standard,68
102,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_tirs_smr,15,0.922,0.0979238,-1.009111742,91.82737994,18.9253,445.5558,standard,68
103,water-breather,Gadus morhua,Gadus morhua (species in domain Eukaryota),gmor_tirs_smr,20,0.857,0.1414203,-0.849488246,76.6535931,15.6169,376.2437,standard,68
104,water-breather,Gobius cobitis,Gobius cobitis,gco_bers,12.5,0.79,0.0410097,-1.387113408,46.47580015,9,240,standard,6
105,water-breather,Gobius cobitis,Gobius cobitis,gco_bers,25,0.89,0.1151596,-0.938699852,46.47580015,9,240,standard,6
106,water-breather,Harpagifer bispinis,Harpagifer bispinis,hbisp_vane_rou,10,0.8056,0.046741886,-1.330293768,5.870853361,4.3929,7.846,routine,71
107,water-breather,Harpagifer bispinis,Harpagifer bispinis,hbisp_vane_rou,4,0.8922,0.015589891,-1.807156921,5.870853361,4.3929,7.846,routine,71
108,water-breather,Harpagifer bispinis,Harpagifer bispinis,hbisp_vane_rou,2,0.964,0.006565106,-2.182758257,5.812437394,4.3929,7.6906,routine,71
109,water-breather,Heteropneustes fossilis,Heteropneustes fossilis,hfos_mun,20,0.833,0.081318572,-1.089810256,43.62589577,17.3215,109.8758,NA,51
110,water-breather,Heteropneustes fossilis,Heteropneustes fossilis,hfos_mun,25,0.763,0.170413416,-0.768496218,36.76703576,13.7056,98.632,NA,51
111,water-breather,Heteropneustes fossilis,Heteropneustes fossilis,hfos_mun,30.5,0.624,0.104685516,-0.980113402,47.98403811,18.6155,123.6854,NA,51
112,water-breather,Hippoglossoides platessoides,Hippoglossoides platessoides,hpla_maki,1,0.5456,0.0187803,-1.726297475,316.3844247,241.647,414.2369,routine,46
113,water-breather,Hippoglossoides platessoides,Hippoglossoides platessoides,hpla_maki,3,0.87051,0.019498,-1.710009934,216.1173696,71.554,652.7479,routine,46
114,water-breather,Hippoglossoides platessoides,Hippoglossoides platessoides,hpla_maki,6,0.76369,0.0219513,-1.658539755,164.3345476,46.3107,583.1452,routine,46
115,water-breather,Hoplias malabaricus,Hoplias malabaricus,hmal_parm_rou,15,0.514,0.0699051,-1.155491139,36.0172181,8.2,158.2,routine,55
116,water-breather,Hoplias malabaricus,Hoplias malabaricus,hmal_parm_rou,20,0.543,0.1143016,-0.94194769,36.0172181,8.2,158.2,routine,55
117,water-breather,Hoplias malabaricus,Hoplias malabaricus,hmal_parm_rou,30,0.682,0.1999446,-0.699090321,36.0172181,8.2,158.2,routine,55
118,water-breather,Labeo capensis,Labeo capensis,lcap_vana_rou,8,0.733,0.0891467,-1.049894729,72.20901646,16.6257,313.6194,(low) routine,70
119,water-breather,Labeo capensis,Labeo capensis,lcap_vana_rou,23,0.69046,0.2461841,-0.60874,76.00127412,17.7523,325.3772,(low) routine,70
120,water-breather,Labeobarbus aeneus,Labeobarbus aeneus,laen_eccl_rou,10,0.626,0.0452302,-1.344571492,52.44044241,5,550,routine,26
121,water-breather,Labeobarbus aeneus,Labeobarbus aeneus,laen_eccl_rou,15,0.681,0.0685689,-1.163872818,52.44044241,5,550,routine,26
122,water-breather,Labeobarbus aeneus,Labeobarbus aeneus,laen_eccl_rou,20,0.61,0.0930042,-1.031497439,52.44044241,5,550,routine,26
123,water-breather,Labeobarbus aeneus,Labeobarbus aeneus,laen_eccl_rou,25,0.838,0.141101,-0.850469908,52.44044241,5,550,routine,26
124,water-breather,Lates calcarifer,Lates calcarifer,lcal_glen_smr,26.45,0.6679,0.0847573,-1.071822886,159.5180867,62.2,409.1,standard,31
125,water-breather,Lates calcarifer,Lates calcarifer,lcal_glen_smr,27.45,0.6496,0.0943558,-1.025231399,312.2972943,62.2,1568,standard,31
126,water-breather,Lates calcarifer,Lates calcarifer,lcal_glen_smr,28.45,0.6031,0.1020007,-0.991396848,312.2972943,62.2,1568,standard,31
127,water-breather,Lates calcarifer,Lates calcarifer,lcal_glen_smr,29.45,0.6846,0.1159445,-0.935749848,312.2972943,62.2,1568,standard,31
128,water-breather,Lates calcarifer,Lates calcarifer,lcal_glen_smr,30.45,0.769,0.1228546,-0.910608578,312.2972943,62.2,1568,standard,31
129,water-breather,Lates calcarifer,Lates calcarifer,lcal_glen_smr,31.45,0.6547,0.1241099,-0.906193574,312.2972943,62.2,1568,standard,31
130,water-breather,Leiostomus xanthurus,Leiostomus xanthurus,lxan_hod,10,0.65,0.1216821,-0.914773304,56.46892022,17,188,resting,37
131,water-breather,Leiostomus xanthurus,Leiostomus xanthurus,lxan_hod,15,0.44,0.1469437,-0.832849029,54.13125229,20,144,resting,37
132,water-breather,Leiostomus xanthurus,Leiostomus xanthurus,lxan_hod,20,0.48,0.2282187,-0.641648773,72.96014626,29,185,resting,37
133,water-breather,Leiostomus xanthurus,Leiostomus xanthurus,lxan_hod,25,0.48,0.3934069,-0.405158027,30.98386677,4,240,resting,37
134,water-breather,Plectropomus leopardus,Leiostomus xanthurus,pleo_mess,28.5,0.747,0.103608704,-0.984603759,223.3271143,21,2375,standard,50
135,water-breather,Plectropomus leopardus,Leiostomus xanthurus,pleo_mess,33,0.799,0.155347916,-0.808694568,223.3271143,21,2375,standard,50
136,water-breather,Lichia amia,Lichia amia,lami_dupr_rou,15,0.73,0.171004818,-0.766991653,75.46522378,17,335,routine,20
137,water-breather,Lichia amia,Lichia amia,lami_dupr_rou,20,0.71,0.181430242,-0.74129032,73.53910524,16,338,routine,20
138,water-breather,Lichia amia,Lichia amia,lami_dupr_rou,25,0.73,0.285744856,-0.544021579,103.4891299,30,357,routine,20
139,water-breather,Lichia amia,Lichia amia,lami_dupr_smr,15,0.78,0.137055254,-0.863104311,75.46522378,17,335,standard,20
140,water-breather,Lichia amia,Lichia amia,lami_dupr_smr,20,0.85,0.169833066,-0.76997775,73.53910524,16,338,standard,20
141,water-breather,Lichia amia,Lichia amia,lami_dupr_smr,25,0.8,0.249471566,-0.602978947,103.4891299,30,357,standard,20
142,water-breather,Limanda limanda,Limanda limanda,llim_duth_smr,15,0.772,0.0686288,-1.163493595,44.80107471,4.1758,480.6641,standard,25
143,water-breather,Limanda limanda,Limanda limanda,llim_duth_smr,5,0.634,0.039377,-1.404757374,30.98418387,2.0908,459.1734,standard,25
144,water-breather,Lithognathus lithognathus,Lithognathus lithognathus,llit_dupr_rout,10,0.7,0.068927475,-1.161607631,373.2720188,51,2732,routine,23
145,water-breather,Lithognathus lithognathus,Lithognathus lithognathus,llit_dupr_rout,15,0.62,0.122051366,-0.913457356,253.416653,52,1235,routine,23
146,water-breather,Lithognathus lithognathus,Lithognathus lithognathus,llit_dupr_rout,20,0.71,0.190135564,-0.720936643,331.490573,47,2338,routine,23
147,water-breather,Lithognathus lithognathus,Lithognathus lithognathus,llit_dupr_rout,25,0.71,0.255126415,-0.593244574,337.6210894,69,1652,routine,23
148,water-breather,Lithognathus lithognathus,Lithognathus lithognathus,llit_dupr_smr,15,0.69,0.101113956,-0.995188898,253.416653,52,1235,standard,23
149,water-breather,Lithognathus lithognathus,Lithognathus lithognathus,llit_dupr_smr,20,0.75,0.154839658,-0.810117797,331.490573,47,2338,standard,23
150,water-breather,Lithognathus lithognathus,Lithognathus lithognathus,llit_dupr_smr,25,0.78,0.20594227,-0.686254505,337.6210894,69,1652,standard,23
151,water-breather,Lithognathus mormyrus,Lithognathus mormyrus,lmor_dupr_rout,10,0.7,0.078212768,-1.106722344,56.98245344,17,191,routine,23
152,water-breather,Lithognathus mormyrus,Lithognathus mormyrus,lmor_dupr_rout,15,0.57,0.17267458,-0.762771592,50.59644256,16,160,routine,23
153,water-breather,Lithognathus mormyrus,Lithognathus mormyrus,lmor_dupr_rout,20,0.71,0.20986696,-0.678055928,98.468269,48,202,routine,23
154,water-breather,Lithognathus mormyrus,Lithognathus mormyrus,lmor_dupr_rout,25,0.71,0.315521905,-0.500970485,85.97674104,48,154,routine,23
155,water-breather,Lithognathus mormyrus,Lithognathus mormyrus,lmor_dupr_smr,15,0.61,0.121728762,-0.914606795,50.59644256,16,160,standard,23
156,water-breather,Lithognathus mormyrus,Lithognathus mormyrus,lmor_dupr_smr,25,0.65,0.24152754,-0.617033342,85.97674104,48,154,standard,23
157,water-breather,Melanogrammus aeglefinus,Melanogrammus aeglefinus,maeg_peck,5,0.634,0.136980051,-0.863342676,3.449709085,0.6887,17.2789,routine,58
158,water-breather,Melanogrammus aeglefinus,Melanogrammus aeglefinus,maeg_peck,8,0.606,0.240987248,-0.618005938,2.574807721,0.3553,18.6584,routine,58
159,water-breather,Melanogrammus aeglefinus,Melanogrammus aeglefinus,maeg_peck,12,0.655,0.285903481,-0.543780557,2.386108787,0.1611,35.3446,routine,58
160,water-breather,Melanogrammus aeglefinus,Melanogrammus aeglefinus,maeg_peck,15,0.65,0.350196309,-0.455688436,3.151099269,0.3627,27.3801,routine,58
161,water-breather,Micropogonias undulatus,Micropogonias undulatus,mund_hod,10,0.92,0.0470026,-1.327878118,198.5440464,97,408,resting,37
162,water-breather,Micropogonias undulatus,Micropogonias undulatus,mund_hod,15,0.65,0.0704678,-1.152009287,175.1669829,77,397,resting,37
163,water-breather,Micropogonias undulatus,Micropogonias undulatus,mund_hod,20,0.72,0.0979236,-1.009112629,125.7822145,30,521,resting,37
164,water-breather,Micropogonias undulatus,Micropogonias undulatus,mund_hod,25,0.78,0.1287439,-0.890273339,153.9480432,30,790,resting,37
165,water-breather,Microstomus kitt,Microstomus kitt,mkit_duth_smr,5,0.68,0.037055684,-1.431145166,26.63505676,2.16,328.4426,standard,25
166,water-breather,Microstomus kitt,Microstomus kitt,mkit_duth_smr,10,0.717,0.063232298,-1.199061035,24.8871621,2.0744,298.5834,standard,25
167,water-breather,Microstomus kitt,Microstomus kitt,mkit_duth_smr,15,0.783,0.081442538,-1.089148701,28.33336502,2.915,275.3996,standard,25
168,water-breather,Myliobatis aquila,Myliobatis aquila,maqu_dupr_rou,10,0.78,0.05156606,-1.28763605,878.6182334,323,2390,routine,22
169,water-breather,Myliobatis aquila,Myliobatis aquila,maqu_dupr_rou,15,0.77,0.074605624,-1.127228433,879.9772724,324,2390,routine,22
170,water-breather,Myliobatis aquila,Myliobatis aquila,maqu_dupr_rou,20,0.73,0.110400133,-0.957030403,584.4929426,157,2176,routine,22
171,water-breather,Myliobatis aquila,Myliobatis aquila,maqu_dupr_rou,25,0.72,0.14212308,-0.847335389,597.3072911,161,2216,routine,22
172,water-breather,Myliobatis aquila,Myliobatis aquila,maqu_dupr_smr,20,0.68,0.094325829,-1.025369369,584.4929426,157,2176,standard,22
173,water-breather,Myliobatis aquila,Myliobatis aquila,maqu_dupr_smr,25,0.68,0.120674831,-0.918383301,597.3072911,161,2216,standard,22
174,water-breather,Mylopharyngodon piceus,Mylopharyngodon piceus,mpic_li_res,10,0.74654,0.0475811,-1.322565522,43.96248401,7,276.1,resting,43
175,water-breather,Mylopharyngodon piceus,Mylopharyngodon piceus,mpic_li_res,25,0.80502,0.1326181,-0.877397198,37.66085501,7.7,184.2,resting,43
176,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_wie_rou,4,0.96,0.1003508,-0.998479161,0.748331477,0.08,7,routine,73
177,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_wie_rou,12,0.93,0.220741,-0.656116994,0.748331477,0.08,7,routine,73
178,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_rao_sal0,5,0.7838,0.061632982,-1.210186819,70.3562364,33,150,standard metabolism,60
179,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_rao_sal7.5,5,0.7345,0.06151325,-1.211031327,64.27285586,27,153,standard metabolism,60
180,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_rao_sal15,5,0.8682,0.064168119,-1.192680691,64.59102105,28,149,standard metabolism,60
181,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_rao_sal30,5,0.6234,0.085376054,-1.068663922,70,25,196,standard metabolism,60
182,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_rao_sal0,15,0.7834,0.116671991,-0.933033391,85.38149682,54,135,standard metabolism,60
183,water-breather,Oncorhynchus mykiss,Oncorhynchus mykiss (species in domain Eukaryota),omyk_rao_sal7.5,15,0.8408,0.097222467,-1.012233363,80.53570637,47,138,standard metabolism,60
